参数1,日期,价格1,价格5,价格2,价格3,价格4,参数2,参数3,参数4,参数5
4230053,2023年5月2日,28424.71,29612.0143,28879.88,27872,28669.86,78.73%,19.42%,0.79%,1.06%
2158784,2023年3月22日,28415.29,29653.73955,28868.05,26601.8,27250.97,69.27%,20.16%,2.32%,8.25%
1816497,2023年4月5日,28348.6,29714.57085,28775,27805.1,28170.01,65.81%,30.66%,2.08%,1.45%
4409286,2023年4月6日,28323.76,29719.36055,28182.05,27711,28033.82,42.26%,53.48%,1.00%,3.26%
1348057,2023年4月3日,28300.8,29721.32285,28500.99,27200.24,27800,80.69%,14.70%,2.75%,1.86%
1919242,2023年4月21日,28295.42,29797.05075,28374.02,27125,27262.84,76.66%,19.51%,2.15%,1.68%
2288498,2023年3月24日,28243.65,29851.6681,28374.3,27000,27454.47,53.64%,41.37%,2.06%,2.93%
3068413,2023年4月26日,28171.87,29857.344,30036,27235,28415.29,41.53%,55.48%,1.37%,1.62%
8619896,2023年4月10日,28170.01,29881.5668,29770,28170,29637.34,10.42%,88.40%,0.54%,0.64%
1990566,2023年3月30日,28165.47,29907.773,29184.68,27686,28028.53,79.80%,15.72%,2.11%,2.37%
4179128,2023年4月27日,28107.81,29978.13095,29890,28378.86,29472.77,41.27%,55.82%,1.08%,1.84%
2636969,2022年6月12日,28068.26,29988.06905,28544.96,26560,26574.53,73.67%,23.69%,1.47%,1.17%
10794173,2023年5月8日,28065.01,29993.74495,28631.01,27262,27668.79,12.55%,85.54%,0.71%,1.19%
1304254,2023年4月2日,28033.83,30017.6407,28530,27856.43,28171.87,81.17%,14.54%,2.47%,1.81%
1538906,2023年4月1日,28028.53,30030.9548,28819.71,28220.27,28452.73,73.88%,22.42%,2.20%,1.50%
1742938,2022年5月28日,27972.87,30204.44955,29266,28450,29031.33,70.40%,25.71%,2.01%,1.89%
2037772,2023年5月3日,27968.05,30246.69175,29266.66,28113.69,29026.16,74.28%,21.95%,1.70%,2.06%
5465522,2022年5月19日,27938.38,30294.67315,30545.18,28691.38,30319.23,44.41%,53.38%,1.02%,1.19%
1829023,2023年4月20日,27906.34,30380.9405,29088.3,28010,28243.65,67.28%,26.85%,2.33%,3.54%
1646796,2023年5月5日,27816.85,30424.2588,29677,28800,29505.61,67.28%,27.09%,2.50%,3.12%
1556485,2023年5月7日,27800,30434.84045,29138.29,28395.23,28430.1,65.68%,26.85%,2.68%,4.79%
1737715,2023年5月4日,27736.39,30622.5988,29379.83,28663.64,28838.16,65.18%,30.12%,2.27%,2.43%
35528841,2022年5月13日,27717.01,30626.3757,31083.37,28751.67,29287.05,71.66%,26.16%,1.06%,1.12%
2097122,2022年5月29日,27694.39,30628.05315,29587.78,28839.21,29468.1,78.63%,17.90%,1.98%,1.49%
2242589,2022年6月11日,27668.8,30691.92285,29440.41,28099.99,28424.7,48.16%,49.13%,1.48%,1.23%
11423048,2022年5月12日,27628.28,30704.6567,30243,26700,29029.75,78.49%,16.69%,1.40%,3.42%
4545502,2022年5月24日,27598.74,30710.1427,29845.86,28669,29654.58,38.66%,58.78%,1.03%,1.53%
3757812,2022年5月21日,27590.59,30807.06555,29656.18,28947.28,29445.06,60.07%,37.35%,1.13%,1.45%
2159522,2022年5月27日,27510.93,30807.42425,29397.66,28282.9,28629.8,69.60%,26.77%,1.90%,1.74%
2689527,2023年4月30日,27462.96,30838.12475,29969.39,29079.59,29233.21,55.93%,41.28%,1.09%,1.70%
2670126,2023年5月1日,27454.46,30841.026,29337.34,27666.95,28068.26,44.91%,52.00%,0.98%,2.11%
26381862,2022年5月14日,27405.62,30897.83775,30343.27,28630,30086.74,54.22%,44.78%,0.41%,0.60%
1816733,2023年4月29日,27395.13,30923.83295,29448.88,29031,29230.45,66.15%,29.26%,1.73%,2.87%
4353948,2023年4月18日,27262.84,31048.93485,30485,29096.78,30380.01,35.98%,62.10%,1.03%,0.89%
4144320,2022年5月22日,27261.06,31064.54885,30487.99,29255.11,30293.94,61.49%,36.24%,1.19%,1.08%
2103752,2022年5月30日,27250.97,31088.8455,32222,29299.62,31734.22,77.58%,18.60%,2.15%,1.67%
4827930,2023年4月28日,27242.59,31093.77235,29599.54,28891,29311.7,65.40%,33.05%,0.75%,0.79%
1703052,2023年5月6日,27230.07,31128.408,29820,28300,28848.2,62.81%,31.07%,2.73%,3.39%
2188833,2022年5月26日,27219.61,31166.9577,29886.64,28019.56,29201.35,62.74%,32.76%,1.96%,2.53%
6425249,2023年4月11日,27210.36,31267.40425,30550,29590,30200.42,29.96%,64.34%,2.54%,3.15%
2431894,2022年5月25日,27162.15,31285.5819,30223.74,29294.21,29542.15,60.23%,35.70%,1.72%,2.35%
6082880,2022年6月4日,27124.9,31333.72155,29988.88,29485,29864.04,70.51%,27.83%,0.57%,1.09%
8271592,2022年6月2日,27115.2,31445.1612,30689,29594.55,30452.62,15.42%,83.63%,0.46%,0.50%
3783286,2022年6月5日,27102.42,31506.55165,30189,29531.42,29919.21,62.86%,34.53%,0.83%,1.78%
6466235,2022年5月17日,27069.22,31517.08055,30788.37,29450.38,30444.93,59.91%,36.94%,0.96%,2.19%
2954722,2023年4月13日,27033.85,31531.91385,30595,29854.59,30373.84,38.03%,58.33%,1.93%,1.71%
2730644,2022年6月6日,26968.61,31564.756,31765.64,29890.23,31373.1,64.32%,32.73%,1.48%,1.47%
9899395,2022年5月10日,26917.61,31728.31265,32658.99,29730.4,31017.1,53.06%,44.04%,0.83%,2.06%
16456035,2022年5月15日,26907.49,31741.5107,31460,29480,31328.89,59.36%,39.49%,0.45%,0.70%
2550212,2022年6月10日,26880.26,31765.97615,30382.8,28850,29091.88,49.23%,48.08%,1.43%,1.26%
5137845,2023年4月12日,26854.28,31861.45365,30486,29637.4,29888.07,40.79%,56.08%,1.37%,1.76%
3363904,2022年6月9日,26849.28,31866.03235,30700,29944.1,30109.93,31.20%,66.63%,1.11%,1.06%
4796581,2022年5月23日,26821.28,31960.09615,30670.51,28866.35,29109.15,49.11%,48.83%,1.00%,1.06%
7752032,2023年4月16日,26817.93,31961.3305,30549.99,30120,30304.65,32.51%,66.57%,0.52%,0.40%
5385341,2023年4月17日,26795.01,31971.4163,30316.06,29240.65,29430.27,34.05%,63.85%,0.86%,1.24%
4312834,2022年5月20日,26775.27,31986.7771,30777.33,28730,29201.01,47.99%,49.92%,1.10%,0.98%
14093662,2023年4月14日,26747.78,32044.4012,31000,29966,30466.93,7.16%,91.64%,0.78%,0.41%
2633295,2023年4月19日,26705.93,32050.91055,30413.53,28520,28797.1,45.11%,51.85%,1.66%,1.38%
5618038,2022年5月18日,26574.53,32119.40115,30709.99,28654.47,28715.32,55.04%,41.26%,1.08%,2.62%
4630788,2022年6月3日,26498.62,32127.52465,30699,29282.36,29700.21,40.07%,58.66%,0.68%,0.59%
5435868,2023年4月15日,26477.8,32142.61115,30595.6,30202,30295.09,18.81%,79.80%,0.84%,0.56%
11222730,2022年5月11日,26473.8,32723.05105,32162.59,27785,29103.94,75.52%,22.42%,0.74%,1.32%
2845277,2022年6月8日,26339.34,32837.2126,31327.22,29843.88,30204.77,45.11%,52.06%,1.41%,1.42%
8794829,2022年5月16日,26329,33051.97895,31328.9,29087.04,29874.01,63.53%,34.12%,0.74%,1.61%
2226900,2022年6月7日,25925.54,33098.6205,31589.6,29218.96,31125.33,60.54%,35.95%,1.89%,1.61%
15005355,2022年5月31日,25905.2,33479.61265,32399,31200.01,31801.04,13.65%,85.80%,0.29%,0.26%
16515167,2022年6月1日,25841.22,33550.10775,31982.97,29301,29805.83,9.35%,90.13%,0.21%,0.31%
3293085,2022年5月9日,25728.2,35910.50145,34243.15,30033.33,30076.31,64.68%,31.36%,1.68%,2.28%
7636832,2022年1月23日,24998.78,37000.3481,36499,34601.01,36244.55,94.53%,2.99%,0.80%,1.68%
3283266,2022年5月8日,24843.89,37423.382,35514.22,33713.95,34038.4,52.11%,42.89%,1.29%,3.71%
5586680,2022年5月7日,24670.41,37994.52735,36146.3,34785,35472.39,60.11%,37.10%,0.93%,1.86%
9675632,2022年1月24日,24632.05,38238.00025,37550,32917.17,36660.35,91.96%,5.75%,0.74%,1.56%
3161940,2022年1月22日,24568.24,38449.80205,36835.22,34008,35071.42,85.79%,6.82%,2.34%,5.05%
6025254,2022年5月6日,24450.67,38563.38335,36675.63,35258,36013.77,67.38%,29.26%,1.01%,2.35%
10503402,2022年1月25日,24443.06,38676.66925,37545.14,35701,36958.32,92.77%,5.47%,0.54%,1.22%
6471163,2022年1月27日,24401.7,38831.6382,37234.47,35507.01,37160.1,93.61%,3.89%,0.78%,1.72%
2679158,2022年2月3日,24322.87,38925.67035,37387,36250,37311.61,89.75%,7.45%,1.29%,1.51%
7568653,2022年1月26日,24305.25,38991.0276,38919.98,36234.63,36809.34,92.83%,5.09%,0.65%,1.44%
3272814,2022年2月22日,24285.66,39043.6088,38429,36350,38230.33,79.18%,16.26%,1.58%,2.98%
4422592,2022年1月28日,24272.51,39203.91605,38000,36155.01,37716.56,92.34%,5.85%,0.89%,0.91%
5455697,2022年2月24日,24182.21,39298.7711,39843,34322.28,38327.21,86.11%,10.26%,1.58%,2.05%
1880741,2022年2月4日,24112.27,39364.1389,41772.33,37026.73,41574.25,88.15%,8.49%,1.75%,1.62%
47068303,2022年5月1日,24093.04,39700.494,38675,37386.38,38468.35,17.84%,80.81%,0.11%,1.24%
8243841,2022年2月28日,23954.05,39772.5294,44225.84,37450.17,43160,25.38%,73.15%,0.61%,0.85%
4532621,2022年1月29日,23940.2,39790.98135,38720.74,37268.44,38166.84,90.06%,8.00%,0.80%,1.14%
3935764,2022年5月4日,23933.09,39804.04225,40023.77,37670,39690,52.91%,43.43%,1.00%,2.65%
3998247,2022年3月14日,23856.15,39855.10425,39947.12,37555,39671.37,81.00%,15.42%,1.31%,2.27%
1954863,2022年1月31日,23845.25,39965.24625,38744,36632.61,38466.9,91.96%,4.76%,1.29%,1.99%
2288143,2022年3月8日,23810.98,40077.35055,39362.08,37867.65,38730.63,85.69%,10.40%,1.95%,1.96%
2396019,2022年4月27日,23777.28,40208.8352,39474.72,37881.31,39235.72,73.14%,22.46%,1.96%,2.44%
3114654,2022年1月30日,23743.37,40266.00565,38359.26,37351.63,37881.76,93.60%,4.00%,1.05%,1.35%
3203287,2022年2月23日,23731.41,40332.99815,39249.93,37036.79,37250.01,75.14%,21.62%,1.41%,1.84%
4628138,2022年2月25日,23644.64,40436.7574,39683.53,38014.37,39219.17,76.47%,20.81%,1.18%,1.54%
3678682,2022年2月21日,23629.76,40498.16895,39494.35,36800,37008.16,66.35%,31.13%,1.23%,1.30%
2260001,2022年3月7日,23554.85,40533.944,39547.57,37155,37988,82.41%,13.21%,1.96%,2.43%
1623452,2022年2月1日,23517.72,40582.5795,39265.2,38000,38694.59,86.53%,9.77%,2.00%,1.71%
12521863,2022年5月2日,23492.09,40584.10925,39167.34,38052,38525.16,32.39%,66.19%,0.38%,1.04%
6547510,2022年5月3日,23489.33,40644.0438,38651.51,37517.8,37728.95,42.45%,55.65%,0.66%,1.24%
1590713,2022年4月30日,23465.32,40718.89605,38795.38,37578.2,37630.8,69.96%,22.48%,2.20%,5.37%
1749213,2022年2月2日,23431.9,40822.79245,38855.92,36586.95,36896.36,86.08%,8.96%,1.99%,2.97%
4343025,2022年3月12日,23398.48,40859.69635,39486.71,38660.52,38807.36,60.16%,35.30%,0.98%,3.56%
3350171,2022年3月9日,23342.66,40860.81465,42594.06,38656.45,41941.71,88.94%,7.81%,1.57%,1.68%
4408680,2022年3月13日,23327.66,40941.75425,39310,37578.51,37777.34,74.51%,22.67%,0.98%,1.83%
12133964,2022年2月27日,23313.56,41268.15015,39855.7,37000,37699.07,16.60%,82.50%,0.40%,0.50%
2026960,2022年3月5日,23296.36,41301.82575,39613.24,38407.59,39397.96,78.86%,16.56%,1.97%,2.61%
5530545,2022年2月26日,23266.9,41376.2138,40348.45,38573.18,39116.72,45.40%,52.65%,0.76%,1.19%
2262230,2022年4月28日,23242.42,41393.6846,40372.63,38881.43,39742.07,64.05%,29.98%,1.98%,3.99%
2488945,2022年3月16日,23223.3,41440.74815,41718,38828.48,41114,74.59%,21.70%,1.77%,1.95%
1012463,2022年3月6日,23191.45,41564.85835,39693.87,38088.57,38420.81,57.94%,30.51%,3.84%,7.71%
7102420,2022年3月11日,23184.04,41590.22055,40236.26,38223.6,38729.57,70.33%,25.69%,0.80%,3.18%
1402648,2022年4月24日,23174.39,41610.89855,39940,38929.62,39450.13,75.17%,19.99%,2.80%,2.04%
1920813,2022年4月25日,23157.07,41619.8766,40616,38200,40426.08,68.53%,23.74%,2.39%,5.34%
3306354,2022年4月12日,23152.19,41704.62475,40699,39254.63,40074.94,52.99%,43.56%,1.46%,1.99%
3479038,2022年3月15日,23151.32,41853.29535,39887.61,38098.33,39280.33,76.10%,20.63%,1.46%,1.81%
2112079,2022年4月18日,23141.57,41860.40605,41116.73,38536.51,40801.13,80.43%,15.67%,1.93%,1.97%
5583977,2022年5月5日,23125.13,41872.95,39845.51,35571.9,36552.97,75.89%,21.39%,0.88%,1.85%
1599648,2022年4月23日,23074.16,41893.19545,39980,39285,39441.6,77.08%,18.34%,2.34%,2.24%
4214234,2021年8月5日,23060.42,41907.94435,41350,37332.7,40862.46,84.06%,12.96%,1.16%,1.83%
3531945,2022年4月29日,23021.4,41927.8733,39925.25,38175,38596.11,84.31%,9.95%,1.19%,4.55%
4988171,2022年4月15日,23009.65,42139.20035,40870.36,39766.4,40551.9,70.95%,26.30%,0.87%,1.89%
2488127,2022年2月19日,22985.93,42173.04475,40444.32,39639.03,40079.17,74.23%,21.97%,1.78%,2.03%
3530840,2022年4月13日,22961.85,42279.07225,41561.31,39588.54,41147.79,61.46%,36.04%,1.22%,1.28%
2348159,2022年2月20日,22954.31,42283.52435,40125.44,38000,38386.89,68.95%,27.44%,1.74%,1.86%
2860562,2022年4月17日,22954.21,42599.5285,40595.67,39546.17,39678.12,77.37%,19.99%,1.22%,1.42%
3117919,2022年4月26日,22932.91,42649.5144,40797.31,37702.26,38112.65,81.59%,14.20%,1.70%,2.51%
1562467,2022年4月22日,22917.81,42706.41055,40795.06,39177,39709.18,69.81%,25.83%,2.33%,2.03%
2871701,2022年2月18日,22827.38,42744.07405,40959.88,39450,39974.44,80.17%,16.03%,1.80%,2.00%
2996047,2022年4月16日,22816.91,42782.2545,40709.35,39991.55,40378.71,61.99%,35.36%,1.20%,1.45%
2654970,2022年1月21日,22783.35,42918.3706,41100,35440.45,36445.31,86.03%,9.89%,2.06%,2.01%
5233660,2021年9月22日,22762.52,42974.46495,44000.55,40565.39,43543.61,79.69%,15.91%,1.32%,3.08%
1896475,2022年4月19日,22706.02,43045.19215,41760,40571,41493.18,78.21%,17.73%,2.09%,1.97%
3623242,2021年8月6日,22684.83,43109.8953,43392.43,39853.86,42836.87,80.27%,14.37%,1.45%,3.91%
4020323,2022年3月18日,22666,43168.37395,42325.02,40135.04,41757.51,57.07%,39.10%,1.31%,2.51%
3254602,2022年3月22日,22631.94,43257.3843,43361,40875.51,42364.13,63.45%,33.83%,1.31%,1.41%
5155379,2021年9月29日,22622.41,43281.38555,42590,40753.88,41524.28,86.07%,7.87%,1.40%,4.66%
2360500,2022年3月17日,22583.72,43375.28055,41478.82,40500,40917.9,81.31%,15.04%,1.86%,1.79%
3637798,2022年4月14日,22577.13,43410.9079,41500,39551.94,39942.38,61.11%,32.84%,1.33%,4.72%
3470309,2022年3月21日,22485.27,43531.52605,41544.22,40467.94,41002.25,53.68%,43.68%,1.24%,1.40%
1830929,2022年4月21日,22448.58,43632.89045,42976,39751,40480.01,75.34%,20.03%,2.31%,2.32%
1853996,2022年2月6日,22432.58,43658.643,42656,41116.56,42380.87,83.48%,7.23%,2.01%,7.27%
2145592,2022年4月20日,22430.24,43775.31545,42199,40820,41358.19,79.20%,17.20%,1.93%,1.68%
3894027,2021年9月30日,22409.41,43808.12595,44141.37,41410.17,43824.1,87.52%,8.49%,1.36%,2.64%
4420117,2022年1月8日,22395.44,43852.6364,42300,40501,41679.74,70.03%,27.81%,0.95%,1.21%
2085766,2022年2月5日,22354.34,43858.1435,41913.69,40843.01,41382.59,86.77%,9.20%,1.89%,2.15%
3125215,2022年1月20日,22346.57,43951.3,43505,40553.31,40680.91,88.57%,9.12%,1.27%,1.04%
8261467,2022年1月9日,22199.84,43972.1257,42786.7,41200.02,41864.62,81.75%,15.74%,0.74%,1.77%
10162705,2022年3月19日,22198.56,44054.17305,42400,41499.29,42201.13,33.22%,65.02%,0.50%,1.25%
7126846,2022年1月11日,22136.42,44122.72695,43100,41268.93,42729.29,68.58%,22.43%,0.97%,8.02%
8486249,2022年1月10日,21998.05,44167.1741,42248.5,39650,41822.49,77.42%,19.82%,0.84%,1.91%
6955872,2022年3月10日,21862.02,44248.4935,42039.63,38539.73,39422,59.07%,35.64%,0.88%,4.41%
4243504,2022年2月14日,21826.87,44366.60075,42842.4,41550.56,42535.94,93.26%,4.50%,1.00%,1.24%
4961401,2021年9月28日,21797.83,44465.45425,42787.38,40888,41026.54,77.22%,17.91%,1.46%,3.40%
4491025,2022年4月11日,21782.37,44477.58675,42414.71,39200,39530.45,36.28%,61.21%,0.99%,1.52%
6139669,2022年3月20日,21774.63,44522.19215,42296.26,40911,41262.11,31.70%,66.04%,0.69%,1.57%
2747682,2022年1月18日,21704.37,44522.71965,42691,41250,42352.12,77.40%,19.69%,1.47%,1.45%
3002960,2022年2月13日,21647.21,44539.85285,42760,41870,42053.66,86.72%,8.86%,2.21%,2.22%
5217107,2022年4月9日,21625.19,44575.8811,42800,42125.48,42753.97,39.81%,58.59%,0.78%,0.82%
3477299,2022年1月19日,21624.99,44681.4866,42559.13,41138.56,41660.01,86.20%,11.71%,1.11%,0.97%
3844501,2022年3月23日,21594.75,44694.15715,43025.96,41751.47,42882.76,66.74%,31.29%,1.00%,0.97%
4651373,2022年2月12日,21592.15,44704.28515,43079.49,41688.88,42217.87,92.08%,5.88%,0.94%,1.10%
1782333,2022年2月7日,21559.04,44711.81785,44500.5,41645.85,43839.99,85.89%,7.47%,2.45%,4.19%
2883989,2022年3月4日,21529.11,44788.97,42527.3,38550,39148.66,68.89%,27.06%,1.73%,2.31%
2487728,2022年2月15日,21516.7,44875.4167,44751.4,42427.03,44544.86,69.49%,26.17%,1.58%,2.76%
3731362,2022年1月14日,21491.18,44899.05925,43448.78,41725.95,43059.96,72.91%,23.86%,1.23%,2.00%
6886229,2021年9月26日,21400.75,45017.51465,43950,40750,43160.9,85.39%,9.01%,1.65%,3.95%
5965249,2022年1月12日,21368.05,45079.40095,44322,42450,43902.66,74.53%,23.31%,0.84%,1.33%
5756259,2022年4月10日,21361.62,45105.4278,43410.3,41868,42158.85,32.06%,66.44%,0.66%,0.84%
12701773,2021年9月25日,21310.9,45165.1619,42966.84,41646.28,42670.64,92.35%,3.84%,0.88%,2.93%
4336763,2021年8月7日,21299.37,45192.89785,44700,42446.41,44572.54,86.75%,9.19%,1.46%,2.60%
3531951,2022年3月24日,21254.67,45241.3118,44220.89,42560.46,43991.46,56.38%,41.49%,1.17%,0.96%
4280088,2021年9月21日,21237.68,45382.5552,43639,39600,40734.38,87.05%,9.21%,1.24%,2.50%
4315893,2022年1月15日,21195.6,45428.2578,43800,42555,43084.29,86.43%,11.33%,0.82%,1.42%
3176507,2022年1月17日,21185.65,45440.6013,43176.18,41540.42,42201.62,77.81%,19.75%,1.18%,1.26%
5597773,2022年1月7日,21148.52,45451.8265,43145.83,40610,41566.48,53.04%,45.07%,0.82%,1.06%
3327653,2022年1月16日,21140.07,45453.92595,43475,42581.79,43071.66,81.42%,16.23%,1.03%,1.31%
6668204,2022年3月1日,21132.29,45533.8,44949,42809.98,44421.2,52.45%,44.28%,1.11%,2.15%
9657049,2021年9月27日,21110.12,45534.7495,44350,42098,42147.35,88.58%,7.13%,1.01%,3.28%
2802935,2022年4月7日,21071.59,45544.84585,43900.99,42727.35,43444.19,78.35%,18.06%,1.56%,2.03%
2704181,2022年4月8日,21038.08,45833.631,43970.62,42107.14,42252.01,68.91%,27.29%,1.50%,2.30%
7015425,2022年1月6日,20952.76,45840.9527,43816,42430.58,43082.31,43.14%,54.30%,0.84%,1.72%
3486871,2022年2月11日,20905.58,45887.6892,43920,41938.51,42373.73,87.48%,9.37%,1.36%,1.79%
4525736,2021年9月23日,20872.99,45941.42035,44978,43069.09,44865.26,86.56%,10.35%,1.23%,1.86%
9985707,2021年8月9日,20861.11,46203.0498,46454.15,42779,46253.4,92.41%,5.49%,0.65%,1.45%
2870466,2021年10月1日,20834.39,46230.11055,48495,43283.03,48141.61,81.98%,13.38%,1.71%,2.93%
7749559,2022年2月8日,20830.04,46251.18945,45492,42666,44042.99,80.81%,17.21%,0.68%,1.31%
2522911,2022年2月17日,20809.68,46286.6058,44164.71,40073.21,40515.7,75.99%,19.56%,1.70%,2.76%
8174338,2022年3月3日,20799.58,46307.10445,44101.12,41832.28,42454,81.63%,16.46%,0.65%,1.26%
4291281,2022年1月13日,20771.61,46317.29575,44500,42311.22,42560.11,74.40%,22.64%,1.11%,1.85%
7329145,2022年3月25日,20742.57,46410.9903,45094.14,43579,44313.16,28.44%,69.56%,0.81%,1.19%
6950056,2022年2月9日,20723.51,46465.365,44799,43117.92,44372.72,76.42%,20.13%,0.74%,2.71%
12202305,2022年3月26日,20677.47,46750.3838,44792.99,44071.97,44511.27,28.08%,70.82%,0.49%,0.61%
8799918,2022年2月10日,20627.48,46813.20905,45821,43174.01,43495.44,81.46%,16.31%,0.60%,1.62%
4258833,2021年8月13日,20591.84,46842.0633,47886,44217.39,47800,87.71%,8.47%,1.40%,2.42%
8782426,2022年3月2日,20590.67,46864.366,45400,43334.09,43892.98,69.62%,28.38%,0.68%,1.32%
7869986,2022年3月27日,20588.84,46959.38985,46999,44421.46,46827.76,31.79%,66.94%,0.57%,0.69%
4034345,2022年2月16日,20574,46994.81675,44549.97,43307,43873.56,77.21%,20.35%,0.99%,1.45%
3319499,2021年8月8日,20573.9,47024.0297,45310,43261,43794.37,82.99%,12.57%,1.69%,2.75%
3994628,2021年8月18日,20564.51,47154.22725,46000,44203.28,44705.29,84.96%,10.02%,1.45%,3.58%
5047663,2021年8月19日,20490.74,47157.83535,47033,43927.7,46760.62,88.13%,7.94%,1.29%,2.63%
6926101,2021年9月11日,20482.81,47308.521,45987.93,44722.22,45173.69,87.13%,10.52%,0.86%,1.49%
6922489,2021年9月24日,20468.81,47332.8493,45200,40675,42810.57,88.45%,6.07%,1.31%,4.17%
4843308,2021年9月14日,20455.73,47412.4596,47250,44594.44,47111.52,81.87%,13.73%,1.32%,3.08%
5571853,2021年9月12日,20400.6,47658.2324,46460,44742.06,46025.24,83.67%,13.58%,1.05%,1.70%
3275005,2022年4月6日,20362.21,47999.9047,45507.14,43121,43170.47,49.35%,47.20%,1.30%,2.15%
2645201,2022年4月1日,20337.82,48013.41925,46720.09,44200,46283.49,64.01%,32.26%,1.61%,2.12%
6142785,2021年8月12日,20295.11,48013.75685,46218.12,43770,44399,86.56%,10.42%,1.20%,1.82%
5668755,2021年8月11日,20287.2,48092.175,46743.47,45341.14,45511,86.70%,9.98%,1.22%,2.09%
2597955,2022年4月3日,20281.28,48330.59445,47444.11,45530.92,46407.35,64.62%,31.96%,1.31%,2.11%
6444346,2022年1月5日,20239.14,48352.77055,47070,42500,43451.13,43.54%,55.11%,0.66%,0.69%
5169306,2021年8月17日,20236.71,48425.8715,47160,44376,44695.95,88.31%,8.51%,1.14%,2.04%
5221320,2021年9月13日,20234.87,48556.61765,46880,43370,44940.73,87.28%,9.31%,1.34%,2.07%
10529107,2021年9月9日,20227.17,48580.96705,47399.97,45513.08,46395.14,92.64%,4.71%,0.84%,1.82%
5193362,2021年12月18日,20207.12,48671.19065,47392.37,45500,46834.48,65.84%,6.26%,0.87%,27.03%
2509077,2022年1月1日,20175.84,48758.86115,47954.63,46208.37,47722.65,62.38%,35.07%,1.14%,1.41%
6983681,2021年8月10日,20173.62,48792.55785,46700,44589.46,45584.99,86.38%,10.67%,1.03%,1.93%
1887377,2022年4月2日,20158.26,48829.08195,47213,45620,45811,81.50%,13.64%,2.23%,2.63%
8822853,2021年9月10日,20151.84,48946.8727,47033,44132.29,44850.91,90.70%,7.02%,0.81%,1.47%
2485875,2022年4月4日,20150.69,48959.7648,46890.71,45118,46580.51,73.98%,22.46%,1.47%,2.09%
3657886,2022年1月4日,20132.64,49000.6355,47557.54,45500,45832.01,88.71%,8.27%,1.46%,1.56%
2082483,2021年12月30日,20123,49020.2163,47900,45900,47120.87,90.16%,5.32%,2.04%,2.48%
2525867,2022年4月5日,20112.61,49142.4275,47200,45353.81,45497.55,63.99%,32.14%,1.33%,2.54%
3797892,2021年12月20日,20079.02,49248.7082,47537.57,45558.85,46914.16,87.29%,8.86%,1.35%,2.51%
3866918,2021年12月14日,20048.44,49271.4118,48700.41,46290,48343.28,83.02%,8.23%,1.68%,7.06%
4282730,2021年8月20日,20037.6,49332.4541,49382.99,46622.99,49322.47,85.19%,10.74%,1.49%,2.59%
6510235,2022年3月28日,20000.3,49403.2868,48189.84,46663.56,47122.21,48.08%,50.10%,0.97%,0.86%
4745484,2021年12月19日,19988,49410.36585,48300.01,46406.91,46681.23,66.38%,13.25%,0.95%,19.42%
6017090,2021年8月27日,19963.61,49420.2723,49149.93,46348,49069.9,69.95%,24.67%,1.06%,4.31%
13389710,2021年9月8日,19960.67,49446.34135,47340.99,44412.02,46048.31,88.29%,7.54%,1.09%,3.07%
6811259,2021年12月21日,19950.98,49494.44935,49328.96,46630,48889.88,57.59%,7.55%,0.74%,34.12%
4512704,2021年8月16日,19942.21,49557.3801,48053.83,45660,45901.29,88.06%,8.03%,1.33%,2.58%
13353956,2021年8月31日,19930.01,49566.97005,48246.11,46700,47100.89,62.12%,35.85%,0.50%,1.53%
3761014,2022年3月31日,19832.45,49656.72945,47600,45200,45510.34,58.59%,38.36%,1.27%,1.78%
4234513,2021年8月15日,19813.03,49657.2675,47372.27,45500,46973.82,88.37%,8.30%,1.21%,2.12%
6506177,2021年9月1日,19803.3,49691.43895,49156,46512,48810.52,78.10%,18.11%,1.07%,2.72%
5659821,2021年9月15日,19795.34,49693.9604,48500,46682.32,48121.41,89.02%,7.40%,1.03%,2.55%
2214818,2021年12月31日,19701.88,49712.5284,48548.26,45678,46216.93,90.28%,6.02%,1.55%,2.15%
4256678,2022年3月29日,19629.08,49713.93155,48096.47,46950.85,47434.8,49.43%,47.99%,1.25%,1.33%
3305166,2021年12月11日,19590.54,49733.2697,49485.71,46751,49389.99,86.83%,9.44%,1.53%,2.20%
4299739,2021年9月20日,19570.4,49840.04625,47347.25,42500,43015.62,86.09%,9.23%,1.23%,3.45%
4193591,2022年1月3日,19555.61,49886.9199,47570,45696,46446.1,66.28%,31.80%,0.88%,1.04%
4284841,2021年9月18日,19548.48,49901.4789,48843.2,47035.56,48292.74,83.73%,12.81%,1.24%,2.22%
3257685,2022年3月30日,19537.02,50043.70345,47700.22,46445.42,47067.99,50.44%,46.39%,1.48%,1.69%
5305399,2021年12月10日,19530.09,50150.3745,50125,46852,47140.54,92.63%,4.94%,1.06%,1.38%
2500017,2021年12月29日,19439.96,50158.6457,48139.08,46096.99,46464.66,90.70%,5.47%,1.69%,2.14%
4171236,2021年12月17日,19422.61,50252.1609,47995.96,45456,46131.2,78.85%,11.14%,1.32%,8.69%
5031373,2021年10月3日,19417.45,50254.80895,49228.08,47088,48200.01,87.00%,10.89%,0.97%,1.14%
4849738,2021年8月25日,19416.52,50296.08055,49264.3,47126.28,48973.32,76.51%,19.35%,1.48%,2.66%
3221862,2022年1月2日,19412.82,50347.4063,47990,46654,47286.18,56.73%,40.19%,1.03%,2.05%
